Title,Year,Rated,Runtime,Genre,Director,Language,Country,Metascore,imdbRating,Production,month
The Racket,1928,PASSED,84,Crime,Lewis Milestone,English,USA,N/A,6.9,Paramount Pictures,11
The Broadway Melody,1929,Passed,100,Drama,Harry Beaumont,English,USA,N/A,5.7,MGM Home Entertainment,6
The Hollywood Revue of 1929,1929,N/A,130,Musical,"Charles Reisner, Christy Cabanne",English,USA,N/A,7.4,Metro-Goldwyn-Mayer Pictures,11
All Quiet on the Western Front,1930,Not Rated,136,Drama,Lewis Milestone,English,USA,91,8,Universal Pictures,8
The Big House,1930,Passed,87,Crime,"George W. Hill, Ward Wing",English,USA,N/A,7.2,Warner Bros.,6
The Divorcee,1930,Passed,84,Romance,Robert Z. Leonard,English,USA,N/A,6.8,MGM,4
Cimarron,1931,Passed,123,Drama,Wesley Ruggles,English,USA,N/A,5.9,MGM Home Entertainment,2
East Lynne,1931,N/A,102,Drama,Frank Lloyd,English,USA,N/A,6.9,N/A,3
The Front Page,1931,TV-PG,101,Comedy,Lewis Milestone,English,USA,N/A,6.7,United Artists,4
Skippy,1931,Approved,85,Comedy,Norman Taurog,English,USA,N/A,6.3,Paramount Pictures,4
Trader Horn,1931,PASSED,122,Action,W.S. Van Dyke,English,USA,N/A,6.4,MGM,5
Grand Hotel,1932,Not Rated,112,Drama,Edmund Goulding,English,USA,N/A,7.4,MGM Home Entertainment,9
One Hour with You,1932,Passed,78,Comedy,"George Cukor, Ernst Lubitsch",English,USA,N/A,7.3,Paramount Pictures,3
Shanghai Express,1932,Approved,82,Adventure,Josef von Sternberg,English,USA,N/A,7.3,Paramount Pictures,2
Cavalcade,1933,Passed,112,Drama,Frank Lloyd,English,USA,N/A,5.9,20th Century Fox Film Corporation,4
42nd Street,1933,Passed,89,Comedy,Lloyd Bacon,English,USA,N/A,7.4,MGM Home Entertainment,3
Lady for a Day,1933,Passed,96,Comedy,Frank Capra,English,USA,N/A,7.4,Columbia Pictures,9
Little Women,1933,Not Rated,115,Drama,George Cukor,English,USA,92,7.2,WARNER BROTHERS PICTURES,11
The Private Life of Henry VIII.,1933,Not Rated,97,Biography,Alexander Korda,English,UK,N/A,7.1,Criterion Collection,9
She Done Him Wrong,1933,Passed,66,Comedy,Lowell Sherman,English,USA,N/A,6.5,MCA Universal Home Video,2
State Fair,1933,Passed,99,Comedy,Henry King,English,USA,N/A,6.9,20th Century Fox Film Corporation,2
A Tale of Two Cities,1935,Passed,128,Drama,"Jack Conway, Robert Z. Leonard",English,USA,N/A,7.8,Warner Home Video,12
In Old Chicago,1938,APPROVED,95,Action,Henry King,English,USA,N/A,6.9,20th Century Fox Film Corporation,4
La Grande Illusion,1937,Not Rated,113,Drama,Jean Renoir,French,France,N/A,8.1,Rialto Pictures,9
49th Parallel,1941,Not Rated,104,Drama,Michael Powell,English,UK,N/A,7.3,N/A,4
Casablanca,1942,PG,102,Drama,Michael Curtiz,English,USA,100,8.5,Warner Bros. Pictures,1
In Which We Serve,1942,Not Rated,115,Drama,"NoÃ«l Coward, David Lean",English,UK,N/A,7.3,MCA Universal Home Video,12
The Ox-Bow Incident,1942,Not Rated,75,Drama,William A. Wellman,English,USA,N/A,8,20th Century Fox Film Corporat,5
Henry V,1944,Not Rated,137,Biography,Laurence Olivier,English,UK,N/A,7.1,Paramount Home Video,10
Great Expectations,1946,Not Rated,118,Adventure,David Lean,English,UK,N/A,7.8,Universal Pictures,5
12 Angry Men,1957,Not Rated,96,Drama,Sidney Lumet,English,USA,96,8.9,Criterion Collection,4
The Music Man,1962,G,151,Comedy,Morton DaCosta,English,USA,N/A,7.7,Warner Bros. Pictures,6
How the West Was Won,1962,G,164,Western,"John Ford, Henry Hathaway, George Marshall, Richard Thorpe",English,USA,56,7.1,Warner Home Video,2
The Russians Are Coming! The Russians Are Coming!,1966,Unrated,126,Comedy,Norman Jewison,English,USA,N/A,7.1,MGM,5
MASH,1970,R,116,Comedy,Robert Altman,English,USA,80,7.5,20th Century Fox,3
The Emigrants,1971,PG,151,Drama,Jan Troell,Swedish,Sweden,N/A,8,Swedish Film Production,3
Cries & Whispers,1972,R,91,Drama,Ingmar Bergman,Swedish,Sweden,N/A,8.1,Criterion Collection,3
Tess,1979,PG,170,Drama,Roman Polanski,English,UK,82,7.3,Criterion Collection,12
Witness,1985,R,112,Crime,Peter Weir,English,USA,76,7.4,Paramount Pictures,2
A Room with a View,1985,Not Rated,117,Drama,James Ivory,English,UK,80,7.3,Cinecom Pictures,4
Goodfellas,1990,R,146,Biography,Martin Scorsese,English,USA,90,8.7,Warner Bros.,9
The Postman,1997,R,177,Action,Kevin Costner,English,USA,29,6.1,Warner Home Video,12
Life Is Beautiful,1997,PG-13,116,Comedy,Roberto Benigni,Italian,Italy,59,8.6,Miramax,2
The Hurt Locker,2008,R,131,Drama,Kathryn Bigelow,English,USA,95,7.6,Summit Entertainment,7
Precious,2009,R,110,Drama,Lee Daniels,English,USA,79,7.3,Lionsgate Films,11
